tweetid,content,polarity,augmented,from_lang
769305893976485888,a mí me dan ganas de volarlo pero me acuerdo de que mi pelo es un desmadre y me lo dejo querido,N,0,none
769344454088019968,pobre bastian scheweisteinger lo que le está pasando en el united es muy crack y el genio de you no lo quiere,P,0,none
769339737043677186,esta la mejor de las suertes disfruta la noche disfruta del grande saludos desde costa rica buena vida pura vida,P,0,none
757258941210382340,mae mañana llego a las cuidado te quedas dormida porque a las estoy ahí llena se quedó dormida y no ha llegado,N,0,none
757247192050446337,mi familia va para la playa y yo por irresponsable tengo que quedarme haciendo los extra clases que tengo para el martes,NONE,0,none
757252258127941632,matt cómodo años él ha sido parte del tourjunto con las bicis y las camisas amarilla muchas gracias,P,0,none
757123970256605185,mejor me duermo buenas noches,NEU,0,none
757418118947872768,mi horario de este semestre es tan tan feo que me tendré que despedir de mi poca vida social y del estreno de suicide squad,N,0,none
756912334816186368,sabia que no iba a ser un buen día cuando me dejó el bus y se me rompió la faja del bolso,N,0,none
756520939492302849,mas la vida es una mierda estén felices o no mejor sonrían y aprovechen el tiempo estar amargado no la va a hacer menos mierda,NEU,0,none
756650097102893056,que mal y por eso es que están jugando yo creo q los jugadores viejos o de la casa deberían tener prioridad pero bueno,N,0,none
756618178650923008,parce yo estoy igual,NEU,0,none
756700943043928064,gracias a dios cerrando con broche de oro dios siempre dando lo mejor a sus hijos esta semana fue mucho mejor que la pasada thnksgod,P,0,none
756313579872096256,hola soy paulo y soy parte de la primera generación que va a tener resolución de problemas en bach de mate,NONE,0,none
756354568003457024,excelente cuando me den el carro lo molesto igual no conozco a nadie mas q haga uber asi que el bono es suyo,P,0,none
757793484468211713,acá tengo pero ugh la canela no me gusta mucho es que es que me cae pesado pero se me quitará gracias kris,N,0,none
756184498606190592,yo solo quiero dormir mas,N,0,none
775941293411176450,buenas noches papas que descansen,P,0,none
775928256633581568,oiga porque no me reviven a escobar pa que se ponga interesante la serie eh jajaja es en serio,N,0,none
756194807630798853,el único senador q se dirigió en español a la audiencia republicana para apoyar a es de padres costarricenses qué pena,N,0,none
758066276388384768,el horario me quedo tan perfecto y tengo tan buenas expectativas de los profes que ya quiero entrar a clases tan bichoraro lo sé,P,0,none
755513187957518336,atf yo tengo mi biblia firmada por el diablo kono pero eso es lo que se me vino a la mente v,NONE,0,none
760675856326860800,sólo mi mamá logra por primera vez una cena en paz con toda la familia rodríguez qué feliz soy de tener la madre que tengo,P,0,none
760711448544837632,yo vivo a metros de la basílica y salí a ver el juego de polvora de estos dos días muy bonito nadaquehacer,P,0,none
759198767451025408,fijo está demasiado hermoso,P,0,none
760357231913119744,viendo looking queens as folk y así me doy cuenta que nunca he tenido un grupo de mejores amigos gays alguien me adopta,P,0,none
760177672525783040,recuerdo cuando le escribía a mi hermana para que me motivada y me hiciera sentir útil dios me dio a la mejor hermana,P,0,none
760585615532437506,hoy inicia la concachampions pero realmente no importa porque no esta la en todo caso la voy a seguir porque si,N,0,none
760090117587476480,buenos días inicio de mes a darlo todo aunque sea más o menos bueno en algo feliz inicio de semana,P,0,none
759229676669792257,llego a la casa a las caminando no hay comida todos están dormidos mañana tengo clases a las sam todo esta bien,N,0,none
760756300007477248,lo termine a las am hora costa rica porque se me hizo súper adictivo me gusto pero no me encanto lcshinyforflowers,P,0,none
761208380954337280,yo estoy triste por rap,N,0,none
761702018197164032,fiesta bandera día de la cerveza semana último día de experiencia y así no quieren que me vaya de parranda,P,0,none
763031266169982977,esta estupida de abi a la par mía esperando a que saquen el desgraciado trailer de residente evil fuck hasta as md la vamos,P,0,none
762833657526497281,con agua hielo regularmente para que se mantenga fresca y un poquito de azúcar a la semana me han durado hasta más de mes,P,0,none
763042513913544705,nos encanta hacerte feliz,P,0,none
764523142995783680,en estas épocas no hay que decirle no a ningún trofeo y es conmemorativo para todos los equipos que ganen en la jornada,NEU,0,none
763092730163568640,yo ni se que le hice me deja de hablar de la nada y ni sabe cuanto la extraño chas gracias,N,0,none
762980998762012672,y las emergencias la gente que necesita ir a hospitales los que esperan cita desde hace años ahh no yo apoyo el paro nacional jiji,N,0,none
763162519582052352,entonces no es indigente ni tiene problemas mentales eso no justifica nada la lanza como muñeca a la calle,N,0,none
765284549127442436,no voy a poder ver a mi mamá el día de la madre por un hijo de la grandísima puta bien,N,0,none
764569008465072129,la daniela me tienen griselda,N,0,none
758120146607091712,totalmente lo del físico se deja atrás cuando el una persona atractiva en todo sentido incluyendo sus propuestas y cerebro,P,0,none
755603120034488320,cual es tu helado favorito y comida como te parecio costa rica cuando viniste y a donde fuiste sigueme pis saludos bye,NONE,0,none
755006351793807360,acabo de preguntarle al mae de a la par que para donde va pero no fue por vida esque estoy demasiado perdida,NONE,0,none
755234728156864512,hoy están participando muchas más mujeres lo que me alegra mucho ya sea para preguntas propias o para hacer preguntas por su pareja,P,0,none
758395896094752768,aburres sí he visto q los motociclistas andan especialmente violentos le pegan a los carros los patean le gritan a la gente y esto,N,0,none
755966460355235840,lo bueno es que voy para salamanca y caquita en una gira lo malo es que es el finde antes del examen de analítica,NEU,0,none
758632139751579649,no me quiero levantar ayuda,N,0,none
758451150349664256,mm no quiero hacer spoiler pero hoy va a ver algo nuevo en el caballo podras ver en el nuevo video que subir en unas horas,NEU,0,none
766391854149623809,quizá para profesionales no sea muchopero hay no remunerado principalmente femenino para quienes es un sueño pasa en mi país,N,0,none
767053112007733248,qué perfume usas yo victorias secret x ah yo uso uno de pink que es más caro que ese,N,0,none
766460456634425344,hay gente aficionada al fútbol hay fanáticos hay envenenados y hay otros hijueputa necios igual que todo en la vida,N,0,none
767170856778928133,quiero hacer una pregunta si puedo yay bueno la pregunta es vas o irías a un jóvenes en victoria,NONE,0,none
767154504647139328,vos también estabas ay que triste nombres sí yo estaba durmiendo para ir a clase hoy a las 730 te extraño bebé,N,0,none
767156227042226177,solo me quedan sábados más así jiji qué días estás yendo a la u que no te he visto,NEU,0,none
761474790284595200,que feo eso de decepcionarte,N,0,none
762419931371622400,delicioso san rafael ezcazu,P,0,none
761938992849838081,hahahaha no lo había visto pero ojo me desperté a las y estoy tratando de dormir no puede ser q ste despierto aún,NEU,0,none
761195957903953920,llego tarde soy hugo fan la empecé en el crecí con ella sube y cae tiene de todo como toda serie temporadas favoritas,P,0,none
762076127376515073,seamos sinceros mi rostro inocente y un amigo no me podés abrir es que perdí las llaves y mi roommate no contesta abre,NONE,0,none
760726897819017216,yo también tuve los libros de amp y no me convencieron yo pasé los exámenes pero gracias a los exámenes viejos,NEU,0,none
760715780732354561,yo solo las lucas,NONE,0,none
762534291255414784,cr hola quería agradecer al personal del starbucks de la sabana por guardar mi cartera olvidada son los mejores saludos,P,0,none
761372585900638208,buenísimo yo mañana voy a clase de de la tarde que es yoga dance es como yoga pero aeróbic,P,0,none
777291543321260032,ya no estoy para mandarle sacando conversación a alguien si la vara fluye bueno y sino va pa la mierda,N,0,none
777637901777514497,me cago en la puta,N,0,none
779066354758397954,el post que compartió no voy a poder estar tranquila hasta que anuncie quién viene y ya estoy pobre gar metallica,N,0,none
779085697554579456,saludos desde costa rica malaya q siempre te escribo y nunca me respondes igual nunca me canso de escucharte besos,NEU,0,none
778795757985865730,el chavo no estaba triste,P,0,none
779475155022123008,c que triste es la realidad,N,0,none
779505704000364544,muy bueno chiquilla no hay que tirar piedras al techo del vecino si el tuyo es de cristal feliz noche poli,P,0,none
778686044405321728,nada más bonito que ir en bus lleno y que alguien comience a toser como si se le fuera a salir un pulmón,N,0,none
777260686258819072,se ve fea en general,N,0,none
778387007831552000,jajaja yo me pegué el susto de la vida y luego la espera por meterlo al taller de icon pero ya está vivo,NEU,0,none
778399423256592384,tan linda diana muchas gracias vamos a ver cómo me acomodo ahora con trabajo nuevo cuesta un montón yo te apoyo desde acá,NEU,0,none
778399123007569920,y son años de acompañarnos es mi edad y he crecido de la mano con ustedes mil gracias ante ale,P,0,none
779322857750827008,oops cierto me mata,N,0,none
779181319024619520,nota personal no ver videos de noche sobre youtube comiendo no ver videos de noche sobre youtube comiendo no ver videos de noche,N,0,none
779173176357982208,cosas q debemos usar para simplificar nuestra vida el cerebro sentido común una sonrisa y eliminar a quién no nos interesa simple,P,0,none
779167291774685184,una mil gracias por todo te prometo en los siguientes años titular aunque me haya costado llegar hasta donde estoy hoy,P,0,none
783372962971971585,rajado cuando pasan años te das cuenta que unas cosas cambian otras se mantienen para dar tranquilidad en los dias libres,NEU,0,none
783221220649172992,ct hola queria preguntarte si el nuevo cafe chiapas es el mismo shade brown porque voy a hacer degustación pronto,NONE,0,none
784013195321061376,jajajajajajaja no soy la que consume no la que las produce saludos jason que disfrute ese súper viaje,P,0,none
783173947051216896,mi mamá adoptó una gata que dejaron bobada al frente de la casa si alguien necesita gatos me escriben tengo,NONE,0,none
784856579795513344,será que un entreno es un entrenamiento artesanal digo como ahora todo es artesanal,N,0,none
784796015702441984,esa es otra buena idea aunque la dinámica de él a sus y la mía esa misma edad es muy distinta,P,0,none
784254527365013504,la vara es que ya tengo como quiz una edición dos exámenes un ensayo y lo peor es que mis vacaciones ya casi acaban,N,0,none
785140294119485440,de comics y de humor negro no y estaré tiempo fuera de youtube si logro volver es con una idea diferente y cool,NEU,0,none
785015004647030784,ah era hoy mañana durante el día puede llamarme y con mucho gusto a plena luz del día no en lo escrito en barrios mierda,N,0,none
780613787376242703,hola odiosa me hace falta,N,0,none
779847537574318080,ocupo que den un secret pascoe para que las beliebers compren las entradas antes y después las que sobran las ponen a la venta normal,NONE,0,none
779562872791851008,me siento triste y solo,N,0,none
781273986554486784,si por aca hay algún chico o una chica mayor de que busca empleo para temporada navideña en tienda que me ponga un dm,NONE,0,none
781301714188054528,jajaja por cierto hasta ahorita me percaté del username y yo preguntando dónde vive soy un imbécil perdón,N,0,none
779569425573818369,fijo a esa mae algún famoso le dijo algo entonces por eso se cree la mas rica y solicitada del puerto es mi opinión,NEU,0,none
780895754730676224,no salí el fin de semana porque hoy tenía examen y salgo del examen y nadie quiere ir por una torta chilena,N,0,none
779921033184903168,ayer la gente de mi fbi se portó mejor que la de mi tl de te en relación con el tema de los himnos,NEU,0,none
780481040225796097,bienvenida a los juegos mentales,P,0,none
779685439451992064,quiero cambiar de posición el cuarto pero soy tan indecisa que si después no me gusta me voy a sentir mal por una semana,N,0,none
779695637948272640,horrible muy buena pero devastadora,NEU,0,none
779693903645593600,no son ni las sam y aquí estoy a moco tendido llorando con una pelicula con cameron díaz que se le muere la hija,N,0,none
780014158708215808,todos queríamos ver las tocas juntas en la final pero así es esto ahora le toca a lei q avanza a la final visslaisaworldjuniors,N,0,none
777721329344655360,mañana si me duermo en la oficina le cuento para que se sienta culpable busca el coral y las pantuflas bonita noche,NEU,0,none
777704983705690112,misión cumplida del fin de semana fastidiar a mario en broma verdad hola feo,NONE,0,none
777676192807649280,esa tabla es muy reveladora,NONE,0,none
783043022220951552,que cargados de odio están tengan se escuchen música abracen salgan de vez en cuando con los suyos y vera como se le quita,N,0,none
782363108945920000,gracias pd sigan adelante con sus maravillosos trabajos quizá algún día un tributo a soda stereo jeje,P,0,none
782096477183148032,en x gimnasio me iban a cobrar como 330mil colores en un año no me matricula y estoy haciendo las matemáticas para el siguiente viaje,NONE,0,none
781528328712880128,por curiosidad intenté en bancos distintos y en todos declinado pero mi reporte está en verde y mi score también,NONE,0,none
782939496413212672,mi consejo de hoy es si quieres que esa persona tan especial para ti nunca te olvide pídele dinero prestado y nunca se lo pagues,NEU,0,none
782803573864148992,soy la peor basura del mundo porque justo hoy andrea tenía que verme con otra mujer que mal me sentí,N,0,none
782579699125932032,me acosté súper tarde ayer para mis horarios normales y ahora no puedo seguir durmiendo porque no aguanto el calor de estas horas,N,0,none
777267152197918720,si llegamos únicamente pedimos un poquito más de tiempo de lo normal y los tel,NONE,0,none
781367360418553856,lo mejor que puedo hacer hoy es dormir porque estoy a punto de llorar no fue mi día en serio,N,0,none
775421246758539266,siempre se aprende algo nuevo,P,0,none
775418253942267904,será normal este odiamos con mi hermana ni siquiera me respeta me mandó a lavarme el culo al río lagarto,N,0,none
775331950290542594,por la mañana hazme saber de tu gran amor porque en ti he puesto mi confianza salmos buen día a todos,P,0,none
775389008545325059,bonito cuando pasan a fumigar,N,0,none
776434082154582016,ya está listo el puente peatonal por mi casaya no tendré que dejar de jugarme la vida cuando voy al auto o al cajero,P,0,none
776158675476090880,asi tiene que ser yo m alegro solo si el barca pierde en algo qe influya a madrid cmo la liga ayer tuan,P,0,none
776807812076703744,que rico que es dormir,P,0,none
776197117253607424,ey ya ahí si no sabría decirte generalmente siempre hace sol temprano se llega a poner nublado es como luego de las pm,NEU,0,none
775584603893411840,yo le escribo a la gente a la hora que sea porque mi ansiedad no me permite esperar a una hora prudente,N,0,none
775223394996486144,gab lunes muerta estudiando fisiología animal como ahorita puedo sábado o domingo pa qué le soy buena,N,0,none
776589176934281216,mis tenis fueron las primeras en ser compradas y no han llegado todo el mundo con tenis nuevas y yo aquí zar,N,0,none
776614618269573120,que delicia si estuviera más cerca fijo le llego con el tupper pero km me separan de su pozo,P,0,none
778376416530432000,qsflp mi corazón despertó mis pasos siguen lo que dicta tu voz mi sueño siempre va ligado a tu amor,P,0,none
778291153074401280,esta ceniza me tiene mala ya ando con alegría y me arden los ojos no puedo usar lentes de contacto,N,0,none
786728406633156608,mañana tengo examen de química e inglés y aquí estoy acostada con el celular conciente de que no se ni que temas me entran,N,0,none
788748085761417216,mata la historia de tantas en todos los países latinoamericanos una mierda nuestra seguridad y ese maldito concepto de macho,N,0,none
788735032336592896,buenos días hace una hora y media salí de cartago y apenas estoy en capote la gasolina está cara y con presas no rinde,N,0,none
788164692376256512,o ya lo está hola,NONE,0,none
787738825552334849,entre lo positivo está el hecho de que no tendré esas responsabilidades extra que adquirí sí yo quedaba electo pero mae yo quería,NEU,0,none
787499227681140736,aunque el día no empezó de la mejor manera queda en uno decidir que tipo de día se quiere vivir,NEU,0,none
788950273771253760,independientemente del resultado me queda claro que tigres va a en la próxima fase de la clic,NONE,0,none
788962460552179712,pues que estoy hablando y en eso me sale el lado ñoño que esta dentro de mi todo mal yo hablando de trastornos de personalidad,N,0,none
787489428256141312,soy la peor del mundo se me olvidó la fecha de tu cumpleaños sorry felicidades bae,NEU,0,none
787659841426722816,me despierto a las de lo más tranquilo y relajado me despierto a las y amanezca cansado y enojado,NONE,0,none
788596794888491008,mi mamá me maquilla super chiva para halloween y todo lo grave en snap snap naymavp,P,0,none
788552972544258048,mañana se madruga para ir a trabajar a la casi frontera norte si puedo me paso y voy por todas y botones,NONE,0,none
788458345686568960,los mismo problemas que tenía del otro lado solo que solo iba un día a la oficina y mi vida era una ilusión,N,0,none
788258714708942852,excelente por mis expectativas y por supuesto voy a a estar pendiente para verla lo mas pronto posible gracias,P,0,none
789317895352299521,soy de esos que aún cuando la comida esté lista y tenga hambre si no me sirven me da pereza y no como,NONE,0,none
793925945090449408,championsxfox me pueden mandar un saludo desde costa rica viendo al sporting y a bryan ruiz porfa,NONE,0,none
794310305367158789,castro vaya a cafetera sola o por un traguito o así a veces es lindo darse ese tiempo para uno,P,0,none
793902627809411072,vi que tengo un vecino tan guapo lo peor es que no sé ni cómo se llama,NEU,0,none
794701150356434945,el fin pasado le rogué demasiado a mis papás por unas nike y no me las compraron,N,0,none
793835901860229122,mañana hay entrega de trabajo final y yo aquí muy zen desayunando en paz sin tener ni media página escrita ni las fuentes,NEU,0,none
793498295951826944,fijo tenia un amante bandido esperándola alison,N,0,none
793575747201798144,imagínate si cuando uno saluda a alguien que está saludando al de atrás se siente feo me da miedo ajeno,N,0,none
793476497721823232,monsejimenezp jaja que dichosa pero entonces cual es la excusa para ser tan repugnante,N,0,none
793494544780328960,días como hoy agradezco no tener carro andar con el hígado hinchado por saber esos marchamos mejor ando en uber jaja,P,0,none
795301082805260288,siempre que veo pasar deprisa a una ambulancia de soporte avanzado se me hace un nudo en la garganta y me vienen malos recuerdos,N,0,none
795401908328550400,sí a mí también me gustó mucho pero como todos esfuerzos sociales de google el problema es creerles volumen de usuarios,N,0,none
795395906682163205,lo empezando x en mi twitter solo jodo a darius pasatiempos tengo muchos una cuenta de twitter no me define uselalogica,N,0,none
794931782923730945,hoy es el concierto de metallica uhh lástima que no voy la sea triste,NONE,0,none
795738550364999680,chema en esas y todos en la oficina deseando que vuelva a la oficina y a dirigir la empresa mejor,P,0,none
795747254338547712,cuando no sepas que hacer nada mas agarra tu celular unos audífonos y despeja tu mente,P,0,none
795761629648617472,de hoy en ocho nos dan las camisas de undécimo y yo ni sé si voy a lograr sobrevivir a la semana de trimestrales,N,0,none
795661212101017601,llevo más de una semana lesionada,N,0,none
795667710050963456,sos mi james gordon favorito,P,0,none
795646557655826432,en una propuestasolicitud de servicio lo que debe quedar muy claro son los entregarles si esto no está claro habrá problemas,NONE,0,none
795625717404958720,arroyo y cómo mezclan realidad con mundos paralelos y que es diferente a las demás películas de marvel,P,0,none
795490783453446145,la quiero aniquilar desgraciada,N,0,none
795488824042385408,yo hasta ahora veo el vídeo del pingüino no lo puedo creer es normal que esté tan triste díganme que ustedes también lloraron,N,0,none
790381773544837120,no se pueden ver series a la vez es lo peor prisonbreak blackmirror,N,0,none
790315522558754816,ese momento en que tienes que decidir algo ya y no tener una idea que es mejor,N,0,none
790324639197196288,ya volvió a esas mierdas porque no tiene a show de huevos es un día triste para el hombre araña,N,0,none
789633490648129537,con lo que voy a gastar comprándome algo para halloween me compro una mudado y de paso la entrada en mil,N,0,none
791738636135964672,acabo de recordar que existen los quedes navideños y ya casi es diciembre para verlos por todo lado,P,0,none
791640101751230464,tengo que aceptar que me esta hundiendo el consumismo con la nueva facebook pro la gorro hero el gorro karma y el nintendo switch,NEU,0,none
791005572690681857,guerrero vas a ser un gran comunicador,P,0,none
789620351042932736,princesa hermosa estas creciendo muy rápido te amo pequeña de tía,P,0,none
789960420610093056,voy a ver armagedon qué cinta rajado muchas gracias a la persona que me la recomendó,P,0,none
789934663540154368,tengo una leve duda de que las fotos del meet acá en cr las van a publicar hasta el año que viene,N,0,none
789682700491759617,es una teja ese cabrón si en el programa se ve agradable en la vida real es el doble de buena gente,P,0,none
791469610759516160,soy una anticuada pero cómo me duele ver o escuchar a gente querida hasta el rabo,N,0,none
790675497512558592,sospechosa tarde navideña de octubre grinch,N,0,none
790449761988046848,ya me quedé sin wifi y qué flojera levantarme a encenderlo de nuevo mi mamá que no me quiere,N,0,none
791118835038425088,los de cueropapel y tijera que tenía uno visto desde hace dos semanas y le subieron el precio,N,0,none
791139931485773826,no me diga eso german que triste jaja nunca había querido los gatos hasta este jaja,N,0,none
791127304739094529,no me dijo nada nuevo tranqui jaja si ve más bolsos lindos me los recomienda también porfa,NEU,0,none
791067778752983041,la típica que nunca ha dicho la palabra picha siempre se la ha comido,N,0,none
790008095069970432,últimamente no twitter porque no tengo ideas sobre qué twittear de ya me tiene feo el tec,N,0,none
785571705754226688,hay un grupo de estudio religioso en el sótano y están haciendo un billón increíble yo sólo quiero ver mi película de putas,N,0,none
785566254060797952,es bonito tener orden en la vida solamente hay que aprender y acostumbrarse a poner las cosas y a las personas en su lugar,P,0,none
785649591911714816,para regalar así que si alguien está interesado pueden buscarlo tipo md cerca de la plaza de la cultura donde suele estar,NONE,0,none
785931249915301888,ya pude ver la info el horario es de a no tenía idea de que se podía solicitar digital gracias,NONE,0,none
785993181456248833,fijo se me pierde la vez pasada la encontré en la lavadora fumando rindo semana,NONE,0,none
785819071300251648,era a la que me quería levantar no a las con el ruido de una hijueputa licuadora gracias al descerebrado de mi primo,N,0,none
786047229492539393,listo muchas gracias nella,NONE,0,none
786047159212781568,si coral o zero necesitan influenciados en digital hoy después del pinchazo que me pegué yo podría ser uno,N,0,none
786031752594587649,no me han llegado mis películas de cine clásico que pedí así que veré algo básico como the surge el año de la elección,NONE,0,none
786066321008099328,hoy a santi se le ruego el michel lleno de fresco y yo parecia cenicienta por todo el piso jaja,NONE,0,none
786065045713219584,gracias a ti hoy soy muy feliz descansa que sueñes bonito te quiero un montón,P,0,none
786129263002918912,que feo estar sin celular,N,0,none
786055233340313600,tengo criterios a favor y otros en contra no lo tengo tan claro en cuanto al resultado final,NEU,0,none
786076428177661952,los recuerdos más importantes y los mejores vividos se quedan en el alma más en cualquier otra cosa son horribles,NEU,0,none
785690847715008513,buenas noches chicos y chitas de mi tl que sueñen bonito así como con a yo,P,0,none
786818931910545408,jaja gracias igual mido,NONE,0,none
786788822377910272,grito es una mala persona,N,0,none
786782707330134016,cuando salga de exámenes me voy a meter al gimnasio y voy a tener un cuerpo lindo y ahí es cuando voy a ser feliz,P,0,none
785658215841181696,new balance podría dejar de ser el patrocinador de la sale o sea camisetas feas otra vez,N,0,none
785811619204964353,buenos días último día laboral me voy a vacaciones una semana éxitos en sus vidas y que sean muy felices,P,0,none
785744398705364993,si va comer gallina mejor quedese calladito tomese sus pastillitas y siga echándole el cuento a youtube,N,0,none
785391027561439233,centro bueno no es tan mala tiene muchos elementos de las primeras dos películas eso es lo mejor y le agregan otros nuevos,P,0,none
786954063615176704,mi profe de comunicación se parece a la profesora bridge yo sé que en el fondo es malvada y nos quiere ver quedarnos,N,0,none
787046850264076289,que me han dicho tantas veces odiosa que a veces creo que si lo soy pero aah soy un amor,NEU,0,none
787049955206627328,ahora que trabajo tiempo completo me siento tan merecedora de los viernes como que tengo derecho a cantar the cure,P,0,none
786963065527033856,las maniática son lo mas divertidas,P,0,none
786964419079122944,ya casi me quitan los frenillos y no quiero aún los siento feos los necesito al menos un año más,N,0,none
786412156711428097,en otros temas y aparte la vida da muchas vueltas que curioso como cambian algunas cosas,NEU,0,none
786405475055046656,ey qué injusticia yo no sabía guardadas porque no las quería arruinar y se me dañan en la siguiente puesta,N,0,none
786417329731014657,chiko en todos los eventos me dice mae échame a una amiga tuya y nunca le he cumplido soy una mala mejor amiga,N,0,none
786416898204393473,mañana debut en percusión para leones chinos ya puedo dejar de ser una samulnorian frustrada aunque el traje de samulnori es más lindo,NEU,0,none
786464649239752704,por lo menos lo tenes ahí no me acuerdo la última vez que yo vi al mío amo esa canción bmw,NEU,0,none
786438206778585088,a mi me operan el lunes las y leer esto es muy poco alentador que sigas mejor,N,0,none
786509571934130176,campos júralo que lo reconsidere siempre tengo insomnio y la ansiedad no me deja dormir tengo e mañana,N,0,none
786027261325668353,pero yo hablo caca de todos lados soy una comemierda democrática,N,0,none
786237591569825792,es el mejor espero con emoción ese disco nuevo y deseo tener tiempo para digerir toda la discografía antes de morir,P,0,none
787153460957421568,el amor no dura para siempre,N,0,none
787153315377184768,de nuevo quiero dedicarme solo a ser boomer y pasear perros no saben la felicidad que me trae,P,0,none
787122996225777664,ah entonces a ver primero stranger things además que son menos episodios voy a ver si la empiezo ya,NONE,0,none
784583239742713860,i told you mi batería es un ridículo un dura minutos ahora necesito que arreglen esto ya,N,0,none
784605890418794501,esa es la respuesta correcta jaja,P,0,none
792219664013074432,estoy en mi casa encerrada en el carro con musica full cuando debería de estar en algún lado,N,0,none
792581420908617728,cr con azúcar jaja yo solo con sal y limón a veces le echo un poquito de chile,NONE,0,none
792559306881142784,perfecto gracias a ver cuánto me toca pagar este año que ya años he pagado lo mismo,N,0,none
792520091204222980,primer vez en años que no tengo plan de halloween disfraz nada solo quiero terminar de estudiar rápido y ver el partido,NEU,0,none
792530696136904704,windows qué mal me caes para abrir cualquier navegador o aplicación es tan lento torpe e ineficiente que da pavor,N,0,none
792817450555437057,suspira puse picadillo de coyote con molida y maiz dulce arroz con frijoles y un bistec así a lo sencillo,NONE,0,none
792786886578216960,perdón jaja desde la semana pasada estaba por contarte pero esta no podía,NONE,0,none
792774890835161092,apoyen a la network esta network tiene futuro p hare videos y directos ahi cuando habran,P,0,none
792824638409629696,lo que extraño de no vivir con mi tia es que ya no puedo ir a la playa o de pueda con mis primos fans,NONE,0,none
792625137396744192,si me hubieran pagado el viernes estaría fuertemente de fiesta pero no aquí estoy acostado en mi cama como colores en la tarjeta,N,0,none
793251112283353088,su mamá va yo también voy pero fijo ya ella no se acuerda de mi y yo soy distraida,NONE,0,none
793155324085547008,juro que todo lo veo borroso,N,0,none
793164052847484928,la vez pasada hice una amiga de baño en el club se llamaba naomi saludos naomi te tengo presente,P,0,none
792449072976175104,me siento tan inútil pero bueno yo siempre he trabajo en las tareas pasadas,N,0,none
792469210567888896,minuto de silencio por los que trabajamos en horario de mall y no podemos ver el clásico,N,0,none
792389968677117952,hice el huevo frito mas perfecto de la historia y no le tome foto,NEU,0,none
792122619348684800,aroma es simple mejor no arriesgarse el q la consuma q la disfrute yo mejor paso y ya,NEU,0,none
792933372892819456,yo no sé ustedes pero mi mejor amigo al chile es el mejor amigo y lo extraño zar,NEU,0,none
792950601533394944,jajaja es que te pones a buscar defectos en una buena iniciativa de redes yo también te quiero y me haces falta,P,0,none
792973675364388864,botas cuidado y se enamora de la suegra porque vieras que señora y que mano tiene para la cocina y dicen qe panza llena corazón,P,0,none
792997729307725824,entre todas las miles de personas a las que le podía haber pasado eso me pasa a mi,N,0,none
792895126431420417,millennium memorial cambiar contraseña wifi con el nombre del gatito amigo de boabdil que se acaba de morir,NEU,0,none
791840258040041472,regalo hermano menor tiene está en plena adolescencia y es insoportable el que lo acepte lo invito a comer,N,0,none
790913130545057792,no me niegues señor tu misericordia que siempre me protejan tu amor y tu verdad salmos buen día a todos,P,0,none
